Jogo;Dia;Hora;Prova;Série;Equipas;Pavilhão;1º Árbitro;2º Árbitro;juiz_linha;juiz_linha2
1982;28/05/2023;18:00;TAP INIC F;2ªFASE;CF_BELENENSES A - GD_SESIMBRA;PAV. ACÁCIO ROSA;INÊS MIGUEL;;;
1861;28/05/2023;11:30;TAP INF F;2ªFASE;FAMÕES_CA B - CDA_VOLEI B;ESC. SEC. BRAAMCAAMP FREIRE;INÊS PEREIRA;;;
1807;28/05/2023;12:00;TAP INF F;2ªFASE;SINTRA_V - ESM_TORRES;EB 2/3 ALTO DOS MOINHOS;ION ANDRUSENCO;;;
1980;28/05/2023;15:00;TAP INIC F;2ªFASE;SINTRA_V - CR_PIEDENSE;EB 2/3 ALTO DOS MOINHOS;ION ANDRUSENCO;;;
1935;28/05/2023;15:00;TAP INIC F;2ªFASE;LUSÓFONA_VC - LOBATOS_V A;ESC. PEDRO EANES LOBATO;MARIA FERREIRA;;;
1459;28/05/2023;15:00;TAP JUV F;2ªFASE;PIONEIROS_L - FAMÕES_CA;ESC. SEC. JOSÉ CARDOSO PIRES;MARIANA CASTRO;;;
1860;28/05/2023;11:00;TAP INF F;2ªFASE;LUSÓFONA_VC - CV_LISBOA;PAV. PROF. TEOTÓNIO LIMA;MARTA PAULA;;;
1936;28/05/2023;10:30;TAP INIC F;2ªFASE;SALES_LISB - AD_MARISTA A;SALESIANOS DO ESTORIL;MICHELLE FERREIRA;;;
1997;28/05/2023;15:00;TAP INIC F;2ªFASE;PLAYSPORTS - FAMÕES_CA B;EB. BARTOLOMEU DIAS;NICOLE SOUSA;;;
1811;28/05/2023;18:00;TAP INF F;2ªFASE;CR_PIEDENSE - CN_GINÁSTICA A;PAV. CR PIEDENSE;PAULO DUQUE;;;
1830;28/05/2023;12:00;TAP INF F;2ªFASE;CSJ_BRITO A - CDM_CARCAVELOS;COL. SÃO JOÃO DE BRITO;PEDRO MATOS;;;
1845;28/05/2023;10:00;TAP INF F;2ªFASE;AD_MARISTA - GDS_CASCAIS;EXT. MARISTAS DE LISBOA;RODRIGO ANDRADE;;;
2615;28/05/2023;12:00;CNFINF;C;ADM - SOM;EXT. MARISTAS DE LISBOA;RODRIGO ANDRADE;;;
1448;28/05/2023;17:00;TAP JUV F;2ªFASE;GC_PORTUGUÊS - AD_MARISTA B;LICEU PEDRO NUNES;SAMUEL PATRÃO;;;
