Jogo;Dia;Hora;Prova;SÉrie;Equipas;Pavilhão;1º Árbitro;2º Árbitro;JL;JL2
415;12/11/2022;17:00;NSFII;A;CR_PIEDENSE - CF_BELENENSES;PAV. CR PIEDENSE;ANDRÉ CORREIA;DIOGO GERALDES;;
725;12/11/2022;17:00;CRJUNF;C;FAMÕES_CA - SPORTING_CP;ESC. SEC. BRAAMCAMP FREIRE;ÂNGELO FERNANDES;;;
1245;12/11/2022;19:00;CRSFIII;A;FAMOES_CA - CP_ARRUPE;ESC. SEC. BRAAMCAMP FREIRE;ÂNGELO FERNANDES;;;
628;12/11/2022;15:00;CRJUVF;C;CV_OEIRAS - V4_ALL;PAV. MUN. SÃO JULIÃO DA BARRA;CARLOS SILVA;;;
1247;12/11/2022;17:00;CRSFIII;A;CV_OEIRAS - CV_LISBOA;PAV. MUN. SÃO JULIÃO DA BARRA;CARLOS SILVA;;;
433;12/11/2022;15:00;CRINICF;D;ACAD_VP - VC_SETUBAL;PAV. MUN. JOÃO DOS SANTOS;CATARINA RODRIGUES;;;
1220;12/11/2022;18:00;CRSMIII;ÚNICA;ACAD_VP - GD_SESIMBRA;PAV. MUN. JOÃO DOS SANTOS;CATARINA RODRIGUES;;;
331;12/11/2022;17:00;NSMII;A;CV_LISBOA - FAC;PAV. MUN. DE ALVALADE;DANIEL FERNANDES;JORGE REIS;;
453;12/11/2022;16:00;CRINICF;E;"CD_MARISTAS CARC - SINTRA_VOLEI ""B""";COL. MARISTAS CARCAVELOS;DIOGO SILVA;;;
756;12/11/2022;19:00;CRJUNF;D;CV_LISBOA - AV_ATLÂNTICO;PAV. ESC. SOPHIA MELLO BREYNER;DIOGO SILVA;;;
782;12/11/2022;18:00;CNJNBF;B;AD_MARISTA - FILIPA_LENC;PAV. EXTERNATO MARISTAS LISBOA;GABRIELA RODRIGUES;;;
345;12/11/2022;11:00;CRINFF;E;"SL_BENFICA - ES_MAD.TORRES ""B""";Pav. Esc. General Humberto Delgado;GABRIELA SANTOS;;;
557;12/11/2022;17:00;CRCADF;D;AV_ATLÂNTICO - VC_SETUBAL;COLÉGIO ATLÂNTICO;GONÇALO MONTEIRO;;;
784;12/11/2022;15:00;CNJNBF;B;AV_ATLÂNTICO - CF_BELENENSES;COLÉGIO ATLÂNTICO;GONÇALO MONTEIRO;;;
291;12/11/2022;15:00;CRINFF;C;"SPORTING_CP ""A"" - CSJ_BRITO ""A""";PAV. MULTIDESPORTIVO SCP;GONÇALO RAMOS;;;
604;12/11/2022;17:00;CRJUVF;B;SPORTING_CP - SINTRA_VOLEI;PAV. MULTIDESPORTIVO SCP;GONÇALO RAMOS;;;
555;12/11/2022;15:00;CRCADF;D;AM_NOGUEIRA - LOBATOS_V;PAV. ESC. SEC. DANIEL SAMAPIO;HUGO CRUZ;;;
682;12/11/2022;17:00;CRJUNF;A;AM_NOGUEIRA - LOBATOS_V;PAV. ESC. SEC. DANIEL SAMAPIO;HUGO CRUZ;;;
412;12/11/2022;15:00;CRINICF;C;FAMÕES_CA - ODIVELAS_SC;ESC. SEC. BRAAMCAMP FREIRE;INÊS MIGUEL;;;
204;12/11/2022;15:00;CRJUNM;ÚNICA;CV_LISBOA - GDR_BOM RETIRO;PAV. MUN. DE ALVALADE;JORGE REIS;;;
314;12/11/2022;15:00;CRINFF;D;"SPORTING_CP ""B"" - GDS_CASCAIS";PAV. MULTIDESPORTIVO SCP;LEONOR CRUZ;;;
629;12/11/2022;17:00;CRJUVF;C;GDS_CASCAIS - GC_PORTUGUES;PAV. GUILHERME PINTO BASTO;MARIA FERREIRA;;;
1272;12/11/2022;19:00;CRSFIII;B;GDS_CASCAIS - SALES_LISB;PAV. GUILHERME PINTO BASTO;MARIA FERREIRA;;;
473;12/11/2022;15:00;CRINICF;F;"SALES_LISBOA - CF_BELENENSES ""B""";SALESIANOS DE LISBOA;MARIANA AURÉLIO;;;
201;12/11/2022;17:00;CRJUNM;ÚNICA;ODIVELAS_SC - HENR_NOG_VOL;PAV. CARLOS PAREDES;NICOLE SOUSA;;;
753;12/11/2022;15:00;CNJNBF;A;ODIVELAS_SC - CSJ_BRITO;PAV. CARLOS PAREDES;NICOLE SOUSA;;;
316;12/11/2022;11:15;CRINFF;D;"CF_BELENENSES - LUSÓFONA_VC ""A""";PAV. ACÁCIO ROSA - RESTELO;PAULO DUQUE;;;
